S0,SErr0,B0,BErr0,S1,SErr1,B1,BErr1,S2,SErr2,B2,BErr2
1.51205e+07,490832,2.38184e+11,6.72077e+08,1.98526e+07,562417,2.47296e+11,6.84812e+08,2.50309e+07,631521,7.01798e+11,1.15364e+09
1.29695e+07,454582,1.14067e+11,4.65097e+08,3.43358e+07,739645,3.85936e+11,8.55501e+08,5.80123e+07,961413,1.79801e+12,1.84654e+09
5.98765e+07,976738,3.24522e+11,7.84486e+08,1.47986e+08,1.53554e+06,2.20884e+12,2.04666e+09,1.78068e+08,1.68439e+06,6.7183e+12,3.56938e+09
7.19378e+07,1.0706e+06,1.6068e+10,1.7456e+08,1.05636e+08,1.29735e+06,1.80957e+11,5.85801e+08,7.94264e+07,1.12495e+06,4.83663e+11,9.5771e+08
2.96562e+07,595511,7.9648e+08,3.88643e+07,4.85023e+07,761576,2.71183e+10,2.26774e+08,3.34828e+07,632766,7.50645e+10,3.77294e+08
1.46767e+07,347675,5.2909e+08,3.16758e+07,2.11173e+07,417041,8.46924e+09,1.26732e+08,1.22717e+07,317916,1.72116e+10,1.80665e+08
6.84763e+06,215680,1.87742e+08,1.88688e+07,7.63565e+06,227752,1.79967e+09,5.84196e+07,4.58547e+06,176495,3.35091e+09,7.97157e+07
4.67346e+06,202051,3.22385e+07,7.81898e+06,6.3332e+06,235209,3.26178e+08,2.48708e+07,3.33694e+06,170733,7.0735e+08,3.66252e+07
1.72967e+06,117689,9.48191e+06,4.24044e+06,1.79374e+06,119849,7.39589e+07,1.18429e+07,936906,86617,1.40332e+08,1.63133e+07
2.27229e+06,158704,2.29462e+08,2.08602e+07,2.53832e+06,167737,7.92688e+08,3.87716e+07,1.51856e+06,129739,1.5702e+09,5.45684e+07
1.10403e+06,118365,4.17204e+07,8.89482e+06,1.09134e+06,117682,2.04809e+08,1.97078e+07,494911,79249.1,3.81173e+08,2.68859e+07
769119,107698,2.27566e+07,6.56926e+06,678635,101165,1.40332e+08,1.63133e+07,407181,78362,1.66882e+08,1.77896e+07
232954,64609.9,1.89638e+06,1.89638e+06,322552,76026.2,1.51711e+07,5.36378e+06,71678.2,35839.1,5.49951e+07,1.02123e+07
128839,57618.5,1.89638e+06,1.89638e+06,206142,72882.3,7.58553e+06,3.79276e+06,51535.6,36441.1,3.79276e+06,2.68189e+06
0,0,0,0,0,0,0,0,0,0,0,0
