S0,SErr0,B0,BErr0
1.61561e+07,507363,2.42466e+11,6.78091e+08
1.50568e+07,489796,1.21581e+11,4.8017e+08
7.44234e+07,1.08894e+06,4.02526e+11,8.73695e+08
8.72017e+07,1.17872e+06,2.17231e+10,2.02966e+08
3.77758e+07,672108,1.56262e+09,5.44364e+07
1.79052e+07,384016,9.67155e+08,4.28263e+07
8.12477e+06,234934,3.7738e+08,2.67518e+07
5.58195e+06,220818,3.79276e+07,8.48088e+06
2.10604e+06,129864,1.51711e+07,5.36378e+06
2.76e+06,174908,3.2997e+08,2.5015e+07
1.30707e+06,128790,6.4477e+07,1.10577e+07
889766,115838,3.03421e+07,7.58553e+06
286713,71678.2,3.79276e+06,2.68189e+06
206142,72882.3,1.89638e+06,1.89638e+06
0,0,0,0
