S0,SErr0,B0,BErr0,S1,SErr1,B1,BErr1,S2,SErr2,B2,BErr2
3.22007e+07,716280,4.36615e+12,2.87748e+09,3.63115e+07,760627,1.4265e+12,1.64474e+09,5.43318e+07,930415,3.2222e+12,2.47195e+09
2.67676e+07,653062,1.64394e+12,1.76565e+09,6.43537e+07,1.0126e+06,2.33881e+12,2.10601e+09,1.22111e+08,1.39485e+06,9.40432e+12,4.22305e+09
8.47002e+07,1.16169e+06,1.80385e+12,1.84954e+09,2.1285e+08,1.84156e+06,7.28325e+12,3.71643e+09,2.6664e+08,2.06116e+06,1.98417e+13,6.13412e+09
8.93208e+07,1.19296e+06,5.29678e+10,3.16934e+08,1.24294e+08,1.40726e+06,3.68239e+11,8.35657e+08,9.54232e+07,1.23304e+06,8.5194e+11,1.27106e+09
3.86129e+07,679514,2.41978e+09,6.77409e+07,5.72556e+07,827449,5.31651e+10,3.17524e+08,4.10763e+07,700854,1.26007e+11,4.88833e+08
1.95359e+07,401122,1.44884e+09,5.2417e+07,2.50047e+07,453806,1.69025e+10,1.79035e+08,1.56897e+07,359474,2.77099e+10,2.29235e+08
9.42908e+06,253090,4.6651e+08,2.97436e+07,9.45625e+06,253454,3.70932e+09,8.38707e+07,5.95771e+06,201178,5.27953e+09,1.0006e+08
6.86606e+06,244904,5.49951e+07,1.02123e+07,7.92305e+06,263080,6.52355e+08,3.51726e+07,4.72588e+06,203181,1.13973e+09,4.64904e+07
2.65857e+06,145908,1.51711e+07,5.36378e+06,2.41834e+06,139160,1.23265e+08,1.52891e+07,1.44139e+06,107435,2.1998e+08,2.04247e+07
4.18989e+06,215504,7.26314e+08,3.71129e+07,3.29205e+06,191024,1.43556e+09,5.21764e+07,1.99518e+06,148712,2.36858e+09,6.70204e+07
2.06847e+06,162015,1.574e+08,1.72769e+07,1.43397e+06,134897,3.45141e+08,2.55836e+07,824851,102310,5.44262e+08,3.21267e+07
1.46283e+06,148528,6.06842e+07,1.07276e+07,935008,118746,2.04809e+08,1.97078e+07,603231,95379.2,2.21877e+08,2.05125e+07
483828,93112.7,3.79276e+06,2.68189e+06,376311,82117.7,3.03421e+07,7.58553e+06,161276,53758.7,6.82697e+07,1.13783e+07
283446,85462.1,1.89638e+06,1.89638e+06,283446,85462.1,1.32747e+07,5.01735e+06,77303.3,44631.1,5.68915e+06,3.28463e+06
0,0,0,0,0,0,0,0,0,0,0,0
