S0,SErr0,B0,BErr0
3.41127e+07,737238,4.41286e+12,2.89283e+09
3.07508e+07,699968,1.73083e+12,1.81171e+09
1.05238e+08,1.2949e+06,2.16366e+12,2.02562e+09
1.07261e+08,1.30729e+06,6.76136e+10,3.5808e+08
4.81794e+07,759037,4.32944e+09,9.06105e+07
2.34892e+07,439840,2.52977e+09,6.92634e+07
1.10459e+07,273930,8.40097e+08,3.99142e+07
8.00167e+06,264383,8.72336e+07,1.28619e+07
3.17107e+06,159352,2.08602e+07,6.28959e+06
4.89928e+06,233035,9.21642e+08,4.18065e+07
2.33496e+06,172136,2.02913e+08,1.96163e+07
1.6438e+06,157448,7.01661e+07,1.15352e+07
537587,98149.4,9.48191e+06,4.24044e+06
360749,96414.2,3.79276e+06,2.68189e+06
0,0,0,0
